title,duration_seconds,duration,upload_date,view_count,maybe_compilation,videoId,url,keep
Moving house and landscaping with kids ride on truck and zero turn lawnmower. Educational | Kid Crew,400,6:40,,4300000,,7mln6mgE7Vc,https://www.youtube.com/watch?v=7mln6mgE7Vc,y
Flying ride on kids rocket ship to launch satellite in space for eclipse. Educational | Kid Crew,407,6:47,,18000000,,JLNq5HOX4Es,https://www.youtube.com/watch?v=JLNq5HOX4Es,y
"Rescuing pet from fire with kids ride on fire truck, drone & wrecking ball. Educational | Kid Crew",407,6:47,,8600000,,5LELPtnjN48,https://www.youtube.com/watch?v=5LELPtnjN48,y
Baling hay with kids power wheel tractor & real tractor to feed horse on farm Educational | Kid Crew,417,6:57,,11000000,,FXr5_oeuk_I,https://www.youtube.com/watch?v=FXr5_oeuk_I,y
Dinosaur police truck chase and baby T-rex rescue! Educational how model rockets work | Kid Crew,418,6:58,,10000000,,vN7dCS4LoIM,https://www.youtube.com/watch?v=vN7dCS4LoIM,y
Boating and fishing adventure with kids ride on boat. Educational how to fish | Kid Crew,428,7:08,,5800000,,T3iNEBWxNfs,https://www.youtube.com/watch?v=T3iNEBWxNfs,y
"Mowing lawn with kids ride on zero turn, tractor, truck. Educational how a mower works | Kid Crew",430,7:10,,6800000,,nxjI0oGG-Ew,https://www.youtube.com/watch?v=nxjI0oGG-Ew,y
"Wildfire rescue with kids forest fire truck, tractor, and ambulance. Educational | Kid Crew",435,7:15,,4800000,,fR2ub94pSRk,https://www.youtube.com/watch?v=fR2ub94pSRk,y
Trash day with kids ride on garbage truck & landfill trip Educational how recycling works | Kid Crew,436,7:16,,7600000,,Fg3fb2MSPEk,https://www.youtube.com/watch?v=Fg3fb2MSPEk,y
"Farming race with Gator, tractor, truck, ATV, forklifts, and chickens. Educational | Kid Crew",438,7:18,,14000000,,vZE0nBrg6Gk,https://www.youtube.com/watch?v=vZE0nBrg6Gk,y
"Farm fresh pizza with kids ride on tractor, motorcycle, cooking and delivery. Educational | Kid Crew",439,7:19,,20000000,,EEe15bVFYPk,https://www.youtube.com/watch?v=EEe15bVFYPk,y
"🎄 Christmas for kids! Cutting tree, decorating, gingerbread, holiday lights | Kid Crew",451,7:31,,2800000,,AJgNTp7bsf4,https://www.youtube.com/watch?v=AJgNTp7bsf4,y
Helping animals with toy chainsaw and kids ride on truck. Educational how chainsaws work | Kid Crew,459,7:39,,7200000,,qfKMjiodP7s,https://www.youtube.com/watch?v=qfKMjiodP7s,y
Firefighter crash rescue with kids power wheel fire truck. Educational vehicle entry | Kid Crew,474,7:54,,7100000,,A3zfVYrDmtk,https://www.youtube.com/watch?v=A3zfVYrDmtk,y
Driving train on backyard railroad to deliver straw and rescue locomotive. Educational | Kid Crew,481,8:01,,22000000,,1GbwjlwdiDA,https://www.youtube.com/watch?v=1GbwjlwdiDA,y
"Caring for chickens with kids ride on truck, collect eggs, feed. Educational cooking eggs | Kid Crew",481,8:01,,6800000,,qGIDdA-H0-Q,https://www.youtube.com/watch?v=qGIDdA-H0-Q,y
Crushing Power Wheels with ride on kids Monster Truck Educational how monster trucks work | Kid Crew,485,8:05,,4700000,,1V_jqAUrn_g,https://www.youtube.com/watch?v=1V_jqAUrn_g,y
Clearing rotten trees with kids ride on bulldozer and forestry skid steer. Educational | Kid Crew,487,8:07,,14000000,,KtSZVnjZYDo,https://www.youtube.com/watch?v=KtSZVnjZYDo,y
"Landscaping mulch and trees with tractor, truck, digger, and water trailer. Educational | Kid Crew",489,8:09,,5200000,,gXHxHm2epWw,https://www.youtube.com/watch?v=gXHxHm2epWw,y
"Plowing snow with power wheels truck, winter storm cleanup, and shoveling. Educational | Kid Crew",489,8:09,,1900000,,ExYuxnc7m-g,https://www.youtube.com/watch?v=ExYuxnc7m-g,y
Fixing power outage with power wheels bucket truck and lighting bug lantern. Educational | Kid Crew,493,8:13,,11000000,,KyK41U1kT0g,https://www.youtube.com/watch?v=KyK41U1kT0g,y
"Mud racing kids ride on truck vs. dad's go-kart through mud, jump, and woods. Educational | Kid Crew",505,8:25,,18000000,,N3peIbEjyGE,https://www.youtube.com/watch?v=N3peIbEjyGE,y
"Finding buried treasure on beach with metal detector, tractors & ride on toys Educational | Kid Crew",511,8:31,,15000000,,0A8OJIKMPIo,https://www.youtube.com/watch?v=0A8OJIKMPIo,y
"Mowing lawn with kids and real zero turn mower, push lawnmower & weed whacker Educational | Kid Crew",523,8:43,,19000000,,v8ngc-RULoY,https://www.youtube.com/watch?v=v8ngc-RULoY,y
Rescuing mom from plumbing emergencies funny stories with trucks and toys. Educational | Kid Crew,528,8:48,,88000000,,#NAME?,https://www.youtube.com/watch?v=-sdnRAi76eY,y
Raising baby chicks for eggs with kids ride on John Deere Gator farm truck. Educational | Kid Crew,530,8:50,,5800000,,j8sGRdyLKQU,https://www.youtube.com/watch?v=j8sGRdyLKQU,y
"Grinding stump and using toy chainsaw, forestry logging trucks. Educational stump grinder | Kid Crew",542,9:02,,15000000,,3m8JcZmsvlE,https://www.youtube.com/watch?v=3m8JcZmsvlE,y
"Harvesting crops with kids power wheel tractor & real combine harvester, farm Educational | Kid Crew",545,9:05,,7200000,,6NF-4EkDQTg,https://www.youtube.com/watch?v=6NF-4EkDQTg,y
Halloween bug control truck shrinks kids ride on monster truck spider. Educational | Kid Crew,550,9:10,,20000000,,w_vkhwzGNZ0,https://www.youtube.com/watch?v=w_vkhwzGNZ0,y
"Farm delivery with kids ride on semi truck and trailer, tractor, forklift. Educational | Kid Crew",579,9:39,,21000000,,kCLLyVLFprY,https://www.youtube.com/watch?v=kCLLyVLFprY,y
